,Usuario,Local,fecha,semaforo,comentario,add_loc_cert,add_loc_localidad,add_loc_cat,add_loc_sect,add_usu_disc,add_usu_pordisc
22,729,3,16/6/2021,V,"Ha cubierto todas mis necesidades sin problemas. Pude entrar con mi chica por la rfampa de acceso y los baños estaba en la primera planta, sin escalón.",Y,Málaga,bar,hostelería,visual,17.0
23,55,3,5/7/2021,V,,Y,Málaga,bar,hostelería,visual,38.0
24,989,3,19/7/2021,V,,Y,Málaga,bar,hostelería,auditiva,64.0
25,467,3,9/7/2021,V,La rampa estaba muy bien adaptada.,Y,Málaga,bar,hostelería,orgánica,46.0
26,259,3,11/7/2021,V,,Y,Málaga,bar,hostelería,orgánica,42.0
27,794,3,22/6/2021,V,,Y,Málaga,bar,hostelería,auditiva,50.0
28,154,3,2/7/2021,V,"Ha cubierto todas mis necesidades sin problemas. Pude entrar con mi chica por la rfampa de acceso y los baños estaba en la primera planta, sin escalón.",Y,Málaga,bar,hostelería,ninguna,0.0
29,108,3,17/6/2021,V,,Y,Málaga,bar,hostelería,ninguna,0.0
30,937,3,13/7/2021,V,,Y,Málaga,bar,hostelería,ninguna,0.0
31,955,3,3/7/2021,V,"Me gustó mucho y estaba muy bien montado, una rampa de acceso amplia.",Y,Málaga,bar,hostelería,cognitiva,24.0
32,207,3,2/7/2021,V,Sin problemas con la accesibilidad,Y,Málaga,bar,hostelería,ninguna,0.0
33,623,3,10/7/2021,V,,Y,Málaga,bar,hostelería,motora,40.0
34,423,3,4/7/2021,V,,Y,Málaga,bar,hostelería,auditiva,48.0
35,399,3,25/6/2021,V,"En primer lugar, decir que el trato fue maravilloso. Tuve un infortunio pero me ayudaron y el trato en ello fue fenomenal! Volveré seguro, porque hice allá­ buenos amigos.",Y,Málaga,bar,hostelería,auditiva,49.0
36,657,3,14/6/2021,V,,Y,Málaga,bar,hostelería,auditiva,31.0
37,99,3,10/7/2021,V,"Los trabajadores muy amables, ayudaron a que mi experiencia sea agradable, a pesar de no tener tan adaptado el lugar, ellos lo hicieron posible.",Y,Málaga,bar,hostelería,visual,69.0
38,631,3,16/7/2021,V,"Estoy seguro, que como a mi, al que está arriba también le pareció accesible.",Y,Málaga,bar,hostelería,cognitiva,71.0
39,958,3,5/6/2021,V,"Estoy seguro, que como a mi, al que está arriba también le pareció accesible.",Y,Málaga,bar,hostelería,motora,46.0
40,949,3,27/5/2021,V,Todo perfecto. Existen rampas de accesibilidad muy adaptadas a las necesidades.,Y,Málaga,bar,hostelería,auditiva,35.0
41,774,3,7/6/2021,V,,Y,Málaga,bar,hostelería,ninguna,0.0
42,684,3,6/6/2021,V,,Y,Málaga,bar,hostelería,auditiva,29.0
43,814,3,2/6/2021,V,,Y,Málaga,bar,hostelería,orgánica,83.0
44,602,3,27/6/2021,V,Todo perfecto. Existen rampas de accesibilidad muy adaptadas a las necesidades.,Y,Málaga,bar,hostelería,visual,69.0
45,302,3,29/5/2021,V,,Y,Málaga,bar,hostelería,auditiva,58.0
46,80,3,30/5/2021,V,"Sorprendida por la accesibilidad con la que cuenta el sitio. Un sitio recomendable para ir habitualmente, si tienes movilidad muy reducida.",Y,Málaga,bar,hostelería,cognitiva,53.0
47,56,3,14/7/2021,V,,Y,Málaga,bar,hostelería,cognitiva,36.0
48,284,3,18/6/2021,V,La rampa estaba muy bien adaptada.,Y,Málaga,bar,hostelería,auditiva,35.0
49,240,3,4/7/2021,V,"Volveré, de los lugares mas accesibles en los que he estado.",Y,Málaga,bar,hostelería,auditiva,50.0
50,639,3,17/6/2021,V,,Y,Málaga,bar,hostelería,motora,78.0
51,814,3,19/7/2021,V,,Y,Málaga,bar,hostelería,orgánica,83.0
52,297,3,9/7/2021,V,,Y,Málaga,bar,hostelería,visual,54.0
53,558,3,19/6/2021,V,,Y,Málaga,bar,hostelería,auditiva,45.0
54,214,3,17/7/2021,V,"Lugar muy accesible, lo recomiendo a los que tengas dudas.",Y,Málaga,bar,hostelería,orgánica,75.0
55,940,3,7/7/2021,A,,Y,Málaga,bar,hostelería,auditiva,24.0
56,433,3,28/5/2021,A,,Y,Málaga,bar,hostelería,auditiva,75.0
57,105,3,4/7/2021,A,,Y,Málaga,bar,hostelería,motora,56.0
58,554,3,21/7/2021,A,Lo recomiendo.,Y,Málaga,bar,hostelería,auditiva,57.0
59,729,3,16/7/2021,A,,Y,Málaga,bar,hostelería,visual,17.0
60,569,3,16/6/2021,A,,Y,Málaga,bar,hostelería,visual,44.0
61,152,3,31/5/2021,A,Todo correcto.,Y,Málaga,bar,hostelería,visual,36.0
62,735,3,21/6/2021,A,"Me gusto el sitio, lo recomiendo.",Y,Málaga,bar,hostelería,motora,33.0
63,693,3,4/6/2021,A,"I loved it, loves to Spain!",Y,Málaga,bar,hostelería,auditiva,41.0
64,967,3,10/7/2021,R,,Y,Málaga,bar,hostelería,ninguna,0.0
65,850,4,11/7/2021,V,,N,Madrid,restaurante,hostelería,ninguna,0.0
66,227,4,27/5/2021,V,,N,Madrid,restaurante,hostelería,auditiva,58.0
67,362,4,28/6/2021,V,,N,Madrid,restaurante,hostelería,auditiva,65.0
68,293,4,4/6/2021,V,,N,Madrid,restaurante,hostelería,orgánica,41.0
69,185,4,29/5/2021,V,"Volveré, de los lugares mas accesibles en los que he estado.",N,Madrid,restaurante,hostelería,cognitiva,63.0
70,922,4,19/6/2021,V,,N,Madrid,restaurante,hostelería,auditiva,45.0
71,334,4,14/7/2021,V,,N,Madrid,restaurante,hostelería,motora,63.0
72,162,4,10/6/2021,V,"Fijo que vuelvo, es una calle empedrada preciosa, pero tiene un carril bici habilitado para mis necesidades.",N,Madrid,restaurante,hostelería,orgánica,38.0
73,880,4,20/7/2021,V,,N,Madrid,restaurante,hostelería,ninguna,0.0
74,105,4,30/6/2021,V,,N,Madrid,restaurante,hostelería,motora,56.0
75,977,4,11/7/2021,V,,N,Madrid,restaurante,hostelería,orgánica,66.0
76,881,4,30/5/2021,V,,N,Madrid,restaurante,hostelería,orgánica,47.0
77,651,4,3/6/2021,V,,N,Madrid,restaurante,hostelería,orgánica,29.0
78,826,4,3/6/2021,V,,N,Madrid,restaurante,hostelería,cognitiva,81.0
79,997,4,2/6/2021,A,,N,Madrid,restaurante,hostelería,cognitiva,
80,621,4,21/7/2021,A,,N,Madrid,restaurante,hostelería,motora,75.0
81,349,4,24/5/2021,A,,N,Madrid,restaurante,hostelería,visual,53.0
82,829,5,7/7/2021,V,,N,Bilbao,pub,hostelería,ninguna,0.0
83,548,5,5/7/2021,V,,N,Bilbao,pub,hostelería,ninguna,0.0
84,572,5,16/7/2021,A,,N,Bilbao,pub,hostelería,motora,59.0
85,456,5,29/5/2021,A,,N,Bilbao,pub,hostelería,visual,12.0
86,188,5,11/6/2021,A,,N,Bilbao,pub,hostelería,ninguna,0.0
87,12,5,26/5/2021,A,,N,Bilbao,pub,hostelería,visual,19.0
88,519,5,18/7/2021,A,,N,Bilbao,pub,hostelería,orgánica,39.0
89,373,5,14/7/2021,A,"Nada que comentar, sencillamente no veo que me den motivos para volver.",N,Bilbao,pub,hostelería,ninguna,0.0
90,453,5,12/6/2021,A,Se corresponde con las características,N,Bilbao,pub,hostelería,orgánica,73.0
91,164,5,10/7/2021,A,,N,Bilbao,pub,hostelería,visual,66.0
92,315,5,29/5/2021,R,,N,Bilbao,pub,hostelería,ninguna,0.0
93,799,5,17/6/2021,R,,N,Bilbao,pub,hostelería,orgánica,42.0
94,296,6,26/6/2021,A,,N,Bilbao,cafe,hostelería,cognitiva,84.0
95,27,6,17/7/2021,A,Todo correcto.,N,Bilbao,cafe,hostelería,motora,67.0
96,404,6,6/6/2021,A,"I loved it, loves to Spain!",N,Bilbao,cafe,hostelería,auditiva,47.0
97,460,6,17/7/2021,A,,N,Bilbao,cafe,hostelería,motora,38.0
98,552,6,2/7/2021,R,,N,Bilbao,cafe,hostelería,ninguna,0.0
99,641,6,18/6/2021,R,,N,Bilbao,cafe,hostelería,cognitiva,86.0
100,323,6,2/7/2021,R,,N,Bilbao,cafe,hostelería,cognitiva,56.0
101,300,6,1/7/2021,R,,N,Bilbao,cafe,hostelería,auditiva,69.0
102,515,6,11/7/2021,R,,N,Bilbao,cafe,hostelería,motora,47.0
103,735,6,7/6/2021,R,,N,Bilbao,cafe,hostelería,motora,33.0
104,424,6,2/6/2021,R,,N,Bilbao,cafe,hostelería,visual,17.0
105,98,6,12/7/2021,R,,N,Bilbao,cafe,hostelería,visual,47.0
106,34,6,14/7/2021,R,,N,Bilbao,cafe,hostelería,motora,70.0
107,136,6,18/6/2021,R,"Recibí malos tratos, sitio desagradable, personal indignante, no respetan al que va en silla de ruedas",N,Bilbao,cafe,hostelería,ninguna,0.0
108,84,6,21/6/2021,R,,N,Bilbao,cafe,hostelería,auditiva,83.0
109,361,6,4/7/2021,R,,N,Bilbao,cafe,hostelería,orgánica,52.0
110,583,6,29/5/2021,R,,N,Bilbao,cafe,hostelería,visual,37.0
111,351,6,2/6/2021,R,,N,Bilbao,cafe,hostelería,auditiva,53.0
112,919,6,7/6/2021,R,,N,Bilbao,cafe,hostelería,auditiva,38.0
113,753,6,11/7/2021,R,,N,Bilbao,cafe,hostelería,auditiva,34.0
114,353,6,11/7/2021,R,,N,Bilbao,cafe,hostelería,ninguna,0.0
115,927,7,22/7/2021,V,,N,Málaga,cine,ocio,auditiva,66.0
116,678,7,9/7/2021,V,,N,Málaga,cine,ocio,motora,75.0
117,783,7,12/6/2021,A,,N,Málaga,cine,ocio,visual,56.0
118,86,7,13/6/2021,A,,N,Málaga,cine,ocio,motora,43.0
119,633,7,25/5/2021,A,,N,Málaga,cine,ocio,visual,30.0
120,180,7,9/7/2021,A,,N,Málaga,cine,ocio,cognitiva,70.0
121,210,7,21/6/2021,A,,N,Málaga,cine,ocio,orgánica,64.0
122,231,7,13/7/2021,A,"Ha cubierto todas mis necesidades sin problemas. Pude entrar con mi chica por la rfampa de acceso y los baños estaba en la primera planta, sin escalón.",N,Málaga,cine,ocio,motora,19.0
123,992,7,9/6/2021,A,,N,Málaga,cine,ocio,auditiva,
124,200,7,30/6/2021,R,,N,Málaga,cine,ocio,visual,54.0
125,771,7,4/6/2021,R,,N,Málaga,cine,ocio,orgánica,40.0
126,217,8,20/6/2021,V,,N,Málaga,restaurante,hostelería,cognitiva,40.0
127,401,8,18/6/2021,A,,N,Málaga,restaurante,hostelería,ninguna,0.0
128,736,8,12/7/2021,A,"No vuelvo, para pasar una mala tarde me quedo en casa.",N,Málaga,restaurante,hostelería,auditiva,56.0
129,796,8,17/6/2021,A,"Tienen mi like, pasense.",N,Málaga,restaurante,hostelería,cognitiva,67.0
130,938,8,26/5/2021,A,,N,Málaga,restaurante,hostelería,visual,32.0
131,507,8,7/7/2021,A,,N,Málaga,restaurante,hostelería,cognitiva,80.0
132,286,8,25/6/2021,A,"I loved it, loves to Spain!",N,Málaga,restaurante,hostelería,ninguna,0.0
133,163,8,9/7/2021,R,,N,Málaga,restaurante,hostelería,ninguna,0.0
134,829,9,28/5/2021,V,,N,Málaga,restaurante,hostelería,ninguna,0.0
135,976,9,11/7/2021,V,,N,Málaga,restaurante,hostelería,cognitiva,62.0
136,273,9,26/6/2021,A,Perfecto,N,Málaga,restaurante,hostelería,cognitiva,47.0
137,908,9,1/6/2021,A,Muy recomendable.,N,Málaga,restaurante,hostelería,visual,47.0
138,51,9,7/7/2021,A,,N,Málaga,restaurante,hostelería,visual,82.0
139,121,9,20/6/2021,A,,N,Málaga,restaurante,hostelería,orgánica,45.0
140,859,9,9/7/2021,A,,N,Málaga,restaurante,hostelería,orgánica,41.0
141,666,9,29/6/2021,A,Lo recomiendo.,N,Málaga,restaurante,hostelería,ninguna,0.0
142,19,9,8/7/2021,A,,N,Málaga,restaurante,hostelería,ninguna,0.0
143,68,9,17/7/2021,A,,N,Málaga,restaurante,hostelería,visual,44.0
144,984,9,17/7/2021,R,,N,Málaga,restaurante,hostelería,orgánica,52.0
145,35,9,4/7/2021,R,,N,Málaga,restaurante,hostelería,auditiva,87.0
146,149,10,30/6/2021,V,,N,Málaga,cafe,hostelería,cognitiva,57.0
147,586,10,1/7/2021,V,,N,Málaga,cafe,hostelería,ninguna,0.0
148,95,10,9/7/2021,A,,N,Málaga,cafe,hostelería,orgánica,71.0
149,477,10,28/6/2021,A,,N,Málaga,cafe,hostelería,cognitiva,24.0
150,504,10,17/6/2021,A,,N,Málaga,cafe,hostelería,orgánica,67.0
151,675,10,9/6/2021,A,"I loved it, loves to Spain!",N,Málaga,cafe,hostelería,ninguna,0.0
152,412,10,10/7/2021,A,,N,Málaga,cafe,hostelería,cognitiva,53.0
153,590,10,25/6/2021,A,,N,Málaga,cafe,hostelería,cognitiva,52.0
154,649,10,27/5/2021,A,,N,Málaga,cafe,hostelería,cognitiva,66.0
155,557,10,19/6/2021,A,,N,Málaga,cafe,hostelería,visual,81.0
156,621,10,5/6/2021,A,"Estoy seguro, que como a mi, al que está arriba también le pareció accesible.",N,Málaga,cafe,hostelería,motora,75.0
157,210,10,10/7/2021,A,,N,Málaga,cafe,hostelería,orgánica,64.0
158,828,10,14/7/2021,R,"No recomiendo este lugar, por que al llamar dijeron que era accesible  y no es cierto.",N,Málaga,cafe,hostelería,motora,66.0
159,553,10,5/7/2021,R,Volveré,N,Málaga,cafe,hostelería,ninguna,0.0
160,596,11,7/7/2021,A,,N,Málaga,pub,hostelería,visual,49.0
161,731,11,12/6/2021,A,,N,Málaga,pub,hostelería,motora,65.0
162,347,11,14/6/2021,A,Perfecto,N,Málaga,pub,hostelería,cognitiva,31.0
163,631,11,18/7/2021,R,,N,Málaga,pub,hostelería,cognitiva,71.0
164,77,11,22/6/2021,R,,N,Málaga,pub,hostelería,auditiva,48.0
165,378,11,14/7/2021,R,,N,Málaga,pub,hostelería,cognitiva,21.0
166,440,11,5/6/2021,R,,N,Málaga,pub,hostelería,auditiva,77.0
167,236,11,4/6/2021,R,,N,Málaga,pub,hostelería,cognitiva,41.0
168,361,11,13/6/2021,R,Sitio de 10. Todos deberian ser como este.,N,Málaga,pub,hostelería,orgánica,52.0
169,787,11,14/7/2021,R,,N,Málaga,pub,hostelería,auditiva,22.0
170,530,11,16/7/2021,R,,N,Málaga,pub,hostelería,motora,29.0
171,553,11,24/6/2021,R,,N,Málaga,pub,hostelería,ninguna,0.0
172,519,11,3/6/2021,R,,N,Málaga,pub,hostelería,orgánica,39.0
173,630,11,17/6/2021,R,,N,Málaga,pub,hostelería,orgánica,75.0
174,225,11,14/7/2021,R,,N,Málaga,pub,hostelería,cognitiva,65.0
175,611,11,8/6/2021,R,,N,Málaga,pub,hostelería,motora,25.0
176,839,12,14/7/2021,V,,Y,Sevilla,restaurante,hostelería,visual,37.0
177,133,12,10/7/2021,V,,Y,Sevilla,restaurante,hostelería,cognitiva,77.0
178,101,12,26/5/2021,V,"En primer lugar, decir que el trato fue maravilloso. Tuve un infortunio pero me ayudaron y el trato en ello fue fenomenal! Volveré seguro, porque hice allá­ buenos amigos.",Y,Sevilla,restaurante,hostelería,motora,37.0
179,433,12,8/7/2021,V,"En primer lugar, decir que el trato fue maravilloso. Tuve un infortunio pero me ayudaron y el trato en ello fue fenomenal! Volveré seguro, porque hice allá­ buenos amigos.",Y,Sevilla,restaurante,hostelería,auditiva,75.0
180,815,12,27/5/2021,V,"Vaya, además de que me ha encantado, da gusto poder encontrarte sitios así­, actualizados, accesibles. Seguro que vuelvo cuando me pasé por la ciudad!",Y,Sevilla,restaurante,hostelería,cognitiva,68.0
181,840,12,29/6/2021,V,,Y,Sevilla,restaurante,hostelería,orgánica,52.0
182,857,12,11/6/2021,V,,Y,Sevilla,restaurante,hostelería,orgánica,48.0
183,830,12,16/7/2021,V,,Y,Sevilla,restaurante,hostelería,visual,43.0
184,4,12,23/5/2021,V,,Y,Sevilla,restaurante,hostelería,orgánica,73.0
185,662,12,24/5/2021,V,,Y,Sevilla,restaurante,hostelería,orgánica,47.0
186,586,12,24/6/2021,V,,Y,Sevilla,restaurante,hostelería,ninguna,0.0
187,555,12,5/6/2021,V,"Volveré, de los lugares mas accesibles en los que he estado.",Y,Sevilla,restaurante,hostelería,ninguna,0.0
188,931,12,3/6/2021,V,,Y,Sevilla,restaurante,hostelería,auditiva,61.0
189,126,12,27/5/2021,V,,Y,Sevilla,restaurante,hostelería,visual,51.0
190,510,12,2/6/2021,V,,Y,Sevilla,restaurante,hostelería,motora,43.0
191,540,12,14/6/2021,V,,Y,Sevilla,restaurante,hostelería,cognitiva,51.0
192,678,12,1/7/2021,V,"Fui con la fami­lia, y al ver a mi abuela en su silla de ruedas el personal se desvivió por montarnos la mesa en la planta baja. Mis sobrinos se lo pasaron muy bien, y eso es lo que buscaba.",Y,Sevilla,restaurante,hostelería,motora,75.0
193,966,12,9/7/2021,V,,Y,Sevilla,restaurante,hostelería,orgánica,89.0
194,63,12,9/7/2021,V,,Y,Sevilla,restaurante,hostelería,visual,65.0
195,970,12,24/5/2021,V,"Sorprendida por la accesibilidad con la que cuenta el sitio. Un sitio recomendable para ir habitualmente, si tienes movilidad muy reducida.",Y,Sevilla,restaurante,hostelería,auditiva,70.0
196,86,12,2/6/2021,V,,Y,Sevilla,restaurante,hostelería,motora,43.0
197,163,12,8/7/2021,V,,Y,Sevilla,restaurante,hostelería,ninguna,0.0
198,442,12,3/6/2021,V,,Y,Sevilla,restaurante,hostelería,visual,83.0
199,994,12,30/5/2021,V,,Y,Sevilla,restaurante,hostelería,auditiva,
200,588,12,19/6/2021,V,"Volveré, de los lugares mas accesibles en los que he estado.",Y,Sevilla,restaurante,hostelería,cognitiva,87.0
201,204,12,26/5/2021,V,,Y,Sevilla,restaurante,hostelería,auditiva,50.0
202,89,12,3/6/2021,V,,Y,Sevilla,restaurante,hostelería,ninguna,0.0
203,646,12,22/6/2021,A,Se corresponde con las características,Y,Sevilla,restaurante,hostelería,auditiva,20.0
204,877,12,17/7/2021,A,,Y,Sevilla,restaurante,hostelería,auditiva,63.0
205,953,12,29/6/2021,A,"Los trabajadores muy amables, ayudaron a que mi experiencia sea agradable, a pesar de no tener tan adaptado el lugar, ellos lo hicieron posible.",Y,Sevilla,restaurante,hostelería,orgánica,74.0
206,895,12,17/7/2021,A,,Y,Sevilla,restaurante,hostelería,visual,36.0
207,518,12,22/7/2021,A,,Y,Sevilla,restaurante,hostelería,auditiva,63.0
208,958,12,26/5/2021,A,,Y,Sevilla,restaurante,hostelería,motora,46.0
209,795,12,15/6/2021,R,,Y,Sevilla,restaurante,hostelería,motora,42.0
210,544,13,13/6/2021,V,,N,Sevilla,restaurante,hostelería,ninguna,0.0
211,137,13,12/7/2021,A,,N,Sevilla,restaurante,hostelería,orgánica,55.0
212,511,13,29/5/2021,A,,N,Sevilla,restaurante,hostelería,ninguna,0.0
213,277,13,18/7/2021,A,,N,Sevilla,restaurante,hostelería,visual,42.0
214,764,13,23/6/2021,A,,N,Sevilla,restaurante,hostelería,motora,56.0
215,131,13,2/6/2021,R,,N,Sevilla,restaurante,hostelería,cognitiva,45.0
216,30,14,18/6/2021,A,"I loved it, loves to Spain!",N,Sevilla,bar,hostelería,visual,61.0
217,406,14,5/6/2021,A,"Que encanto de sitio, volvemos seguro, no tuve ningun problema.",N,Sevilla,bar,hostelería,auditiva,66.0
218,96,14,15/7/2021,A,,N,Sevilla,bar,hostelería,motora,51.0
219,723,14,22/7/2021,R,,N,Sevilla,bar,hostelería,auditiva,79.0
220,545,14,29/5/2021,R,,N,Sevilla,bar,hostelería,auditiva,65.0
221,805,14,22/6/2021,R,,N,Sevilla,bar,hostelería,orgánica,59.0
222,98,14,31/5/2021,R,,N,Sevilla,bar,hostelería,visual,47.0
223,4,14,21/6/2021,R,,N,Sevilla,bar,hostelería,orgánica,73.0
224,124,14,28/5/2021,R,,N,Sevilla,bar,hostelería,orgánica,39.0
225,814,14,10/7/2021,R,,N,Sevilla,bar,hostelería,orgánica,83.0
226,983,14,9/6/2021,R,,N,Sevilla,bar,hostelería,motora,74.0
227,821,14,11/7/2021,R,,N,Sevilla,bar,hostelería,orgánica,66.0
228,815,14,30/5/2021,R,,N,Sevilla,bar,hostelería,cognitiva,68.0
229,680,14,28/6/2021,R,,N,Sevilla,bar,hostelería,ninguna,0.0
230,515,14,5/7/2021,R,"No volveré, personal poco empático con personas con discapacidad.",N,Sevilla,bar,hostelería,motora,47.0
231,847,14,29/6/2021,R,,N,Sevilla,bar,hostelería,motora,76.0
232,224,14,30/5/2021,R,,N,Sevilla,bar,hostelería,motora,51.0
233,862,15,24/6/2021,A,,N,Sevilla,cafe,hostelería,visual,39.0
234,579,15,18/6/2021,A,,N,Sevilla,cafe,hostelería,orgánica,91.0
235,542,15,21/7/2021,R,Lo recomiendo.,N,Sevilla,cafe,hostelería,orgánica,41.0
236,680,15,9/7/2021,R,,N,Sevilla,cafe,hostelería,ninguna,0.0
237,718,15,3/7/2021,R,,N,Sevilla,cafe,hostelería,auditiva,44.0
238,193,15,18/7/2021,R,,N,Sevilla,cafe,hostelería,cognitiva,58.0
239,559,15,8/6/2021,R,,N,Sevilla,cafe,hostelería,motora,64.0
240,918,15,15/7/2021,R,,N,Sevilla,cafe,hostelería,cognitiva,73.0
241,348,15,4/6/2021,R,,N,Sevilla,cafe,hostelería,cognitiva,46.0
242,635,15,22/6/2021,R,,N,Sevilla,cafe,hostelería,motora,59.0
243,393,15,24/5/2021,R,,N,Sevilla,cafe,hostelería,auditiva,58.0
244,369,15,6/7/2021,R,,N,Sevilla,cafe,hostelería,auditiva,37.0
245,478,16,21/6/2021,A,"¿Por qué casi todos los locales de esta ciudad, tienen baños sin adaptar? Este incluido!",N,Sevilla,teatro,ocio,ninguna,0.0
246,463,16,27/6/2021,A,,N,Sevilla,teatro,ocio,visual,56.0
247,242,16,2/6/2021,A,,N,Sevilla,teatro,ocio,ninguna,0.0
248,405,16,10/7/2021,R,,N,Sevilla,teatro,ocio,cognitiva,30.0
249,993,16,5/7/2021,R,,N,Sevilla,teatro,ocio,visual,
250,190,16,29/5/2021,R,,N,Sevilla,teatro,ocio,orgánica,52.0
251,18,16,4/6/2021,R,,N,Sevilla,teatro,ocio,visual,79.0
252,872,16,25/5/2021,R,,N,Sevilla,teatro,ocio,ninguna,0.0
253,89,16,29/6/2021,R,"Tienen mi like, pasense.",N,Sevilla,teatro,ocio,ninguna,0.0
254,422,16,25/6/2021,R,,N,Sevilla,teatro,ocio,orgánica,36.0
255,930,16,2/7/2021,R,,N,Sevilla,teatro,ocio,orgánica,29.0
256,924,16,16/7/2021,R,,N,Sevilla,teatro,ocio,auditiva,66.0
257,60,16,24/6/2021,R,"Realicé una sugerencia sobre los baños y me dijeron que ellos no podí­an adaptarlo a personas con silla de ruedas por que no era frecuente, me parecieron ofensivos.",N,Sevilla,teatro,ocio,motora,31.0
258,166,16,9/6/2021,R,,N,Sevilla,teatro,ocio,visual,40.0
259,111,16,14/6/2021,R,Se corresponde con las características,N,Sevilla,teatro,ocio,motora,57.0
260,550,16,24/5/2021,R,"I loved it, loves to Spain!",N,Sevilla,teatro,ocio,cognitiva,66.0
261,503,16,7/7/2021,R,,N,Sevilla,teatro,ocio,ninguna,0.0
262,641,17,13/7/2021,V,,N,Sevilla,cine,ocio,cognitiva,86.0
263,997,17,10/6/2021,A,,N,Sevilla,cine,ocio,cognitiva,
264,948,17,24/6/2021,A,,N,Sevilla,cine,ocio,orgánica,70.0
265,22,17,7/7/2021,A,,N,Sevilla,cine,ocio,ninguna,0.0
266,612,17,8/7/2021,A,Se corresponde con las características,N,Sevilla,cine,ocio,visual,50.0
267,955,17,23/5/2021,R,,N,Sevilla,cine,ocio,cognitiva,24.0
268,395,18,22/6/2021,V,,N,Valencia,bar,hostelería,ninguna,0.0
269,24,18,12/6/2021,V,,N,Valencia,bar,hostelería,ninguna,0.0
270,35,18,7/7/2021,A,,N,Valencia,bar,hostelería,auditiva,87.0
271,533,18,25/5/2021,A,,N,Valencia,bar,hostelería,visual,75.0
272,67,18,22/7/2021,A,,N,Valencia,bar,hostelería,cognitiva,54.0
273,81,18,21/7/2021,A,,N,Valencia,bar,hostelería,visual,49.0
274,623,18,12/6/2021,A,,N,Valencia,bar,hostelería,motora,40.0
275,297,18,16/6/2021,A,,N,Valencia,bar,hostelería,visual,54.0
276,490,18,17/6/2021,A,"El baño no estaba disponible, no se si será accesible o no, pero no pude hacer mis necesidades!",N,Valencia,bar,hostelería,motora,47.0
277,771,18,6/6/2021,A,,N,Valencia,bar,hostelería,orgánica,40.0
278,978,18,11/7/2021,A,,N,Valencia,bar,hostelería,orgánica,74.0
279,88,18,10/6/2021,A,,N,Valencia,bar,hostelería,ninguna,0.0
280,216,18,3/7/2021,R,,N,Valencia,bar,hostelería,visual,46.0
281,515,18,29/5/2021,R,,N,Valencia,bar,hostelería,motora,47.0
282,415,19,4/7/2021,V,,N,Valencia,bar,hostelería,motora,87.0
283,985,19,12/7/2021,V,,N,Valencia,bar,hostelería,orgánica,41.0
284,840,19,8/7/2021,V,,N,Valencia,bar,hostelería,orgánica,52.0
285,761,19,24/6/2021,V,,N,Valencia,bar,hostelería,auditiva,37.0
286,113,19,18/7/2021,V,,N,Valencia,bar,hostelería,auditiva,17.0
287,495,19,17/7/2021,V,,N,Valencia,bar,hostelería,visual,50.0
288,392,19,19/7/2021,V,,N,Valencia,bar,hostelería,auditiva,59.0
289,424,19,28/6/2021,V,,N,Valencia,bar,hostelería,visual,17.0
290,719,19,14/6/2021,V,,N,Valencia,bar,hostelería,ninguna,0.0
